Season,Player,GAA
2022-23,Linus Ullmark,1.894
2021-22,Igor Shesterkin,2.071
2020-21,Alex Nedeljkovic,1.897
2019-20,Tuukka Rask,2.123
2018-19,Jordan Binnington,1.887
2017-18,Carter Hutton,2.088
2016-17,Sergei Bobrovsky,2.056
2015-16,Ben Bishop,2.059
2014-15,Carey Price,1.962
2013-14,Josh Harding,1.655
2012-13,Craig Anderson,1.689
2011-12,Brian Elliott,1.557
2010-11,Tim Thomas,1.998
2009-10,Tuukka Rask,1.967
2008-09,Tim Thomas,2.099
2007-08,Chris Osgood,2.092
2006-07,Niklas Bäckström,1.967
2005-06,Miikka Kiprusoff,2.069
2003-04,Miikka Kiprusoff,1.692
2002-03,Marty Turco,1.728
2001-02,Patrick Roy*,1.939
2000-01,Marty Turco,1.896
1999-00,Brian Boucher,1.914
1998-99,Ron Tugnutt,1.794
1997-98,Ed Belfour*,1.877
1996-97,Martin Brodeur*,1.876
1995-96,Ron Hextall,2.166
1994-95,Dominik Hašek*,2.111
1993-94,Dominik Hašek*,1.948
1992-93,Félix Potvin,2.502
1991-92,Patrick Roy*,2.364
1990-91,Ed Belfour*,2.472
1989-90,Mike Liut,2.527
1988-89,Patrick Roy*,2.471
1987-88,Pete Peeters,2.787
1986-87,Brian Hayward,2.818
1985-86,Bob Froese,2.555
1984-85,Tom Barrasso,2.67
1983-84,Pat Riggin,2.668
1982-83,Pete Peeters,2.372
1981-82,Denis Herron,2.641
1980-81,Richard Sévigny,2.398
1979-80,Bob Sauvé,2.364
1978-79,Ken Dryden*,2.304
1977-78,Ken Dryden*,2.053
1976-77,Michel Larocque,2.086
1975-76,Ken Dryden*,2.032
1974-75,Bernie Parent*,2.037
1973-74,Bernie Parent*,1.894
1972-73,Ken Dryden*,2.259
1971-72,Tony Esposito*,1.771
1970-71,Jacques Plante*,1.885
1969-70,Ernie Wakely,2.11
1968-69,Jacques Plante*,1.964
1967-68,Gump Worsley*,1.981
1966-67,Glenn Hall*,2.379
1965-66,Johnny Bower*,2.255
1964-65,Johnny Bower*,2.384
1963-64,Johnny Bower*,2.115
1962-63,Don Simmons,2.466
1961-62,Jacques Plante*,2.371
1960-61,Charlie Hodge,2.469
1959-60,Jacques Plante*,2.536
1958-59,Jacques Plante*,2.16
1957-58,Jacques Plante*,2.109
1956-57,Jacques Plante*,2.001
1955-56,Jacques Plante*,1.859
1954-55,Harry Lumley*,1.914
1953-54,Harry Lumley*,1.855
1952-53,Terry Sawchuk*,1.889
1951-52,Terry Sawchuk*,1.9
1950-51,Al Rollins,1.775
1949-50,Bill Durnan*,2.203
1948-49,Bill Durnan*,2.1
1947-48,Turk Broda*,2.383
1946-47,Bill Durnan*,2.3
1945-46,Bill Durnan*,2.6
1944-45,Bill Durnan*,2.42
1943-44,Bill Durnan*,2.18
1942-43,Johnny Mowers,2.472
1941-42,Frank Brimsek*,2.347
1940-41,Turk Broda*,2
1939-40,Dave Kerr,1.54
1938-39,Frank Brimsek*,1.557
1937-38,Tiny Thompson*,1.798
1936-37,Normie Smith,2.054
1935-36,Tiny Thompson*,1.679
1934-35,Lorne Chabot,1.796
1933-34,Wilf Cude,1.469
1932-33,Tiny Thompson*,1.76
1931-32,Charlie Gardiner*,1.847
1930-31,Roy Worters*,1.609
1929-30,Tiny Thompson*,2.194
1928-29,George Hainsworth*,0.921
1927-28,George Hainsworth*,1.055
1926-27,Clint Benedict*,1.42
1925-26,Alec Connell*,1.12
1924-25,Georges Vezina*,1.806
1923-24,Georges Vezina*,1.974
1922-23,Clint Benedict*,2.176
1921-22,Clint Benedict*,3.343
1920-21,Clint Benedict*,3.078
1919-20,Clint Benedict*,2.661
1918-19,Clint Benedict*,2.862
1917-18,Georges Vezina*,3.931
